"id_ple";"nazev";"sk_nazev";"de_nazev";"uk_nazev";"skupina";"velikost";"misto_puvodu";"krouzek";"strucny_popis"
1;"Benešovský holub";"Benešovský holub";"Beneschauer Taube";"Benesov Pigeon";1;2;1;10;"Holub polního typu, silné tělesné stavby. Tělo je neseno v mírném sklonu nazad. Vyniká užitkovostí, dobrámi letovými schopnostmi, včetně polaření. Původně s vyskytoval jen v rázu modrém bezpruhém. Cílem je rozšíření počtu barevných a kresebných rázů při zachování původního typu a užitkových vlastností."
2;"Brněnský voláč";"Brnenský hrvoliak";"Brünner Kröpfer";"Bruenner Cropper";4;1;8;7;"Zakrslý, vysokonohý voláč, vynikajících jemných tělesných tvarů s velmi vzpřímenou a štíhlou postavou. Ušlechtilý dojem dotváří kulaté podvázené vole a znatelná hrudní kost. Typickým plemenným znakem jsou vysoko nesená a křížící se křídla. K původním znakům patří i jeho typické životní projevy: temperament, žabí skoky samců, našlapování na přední část prstů a úklony při vrkání, tleskání křídly a zvláštní způsob vrkání, jako by ze sevřeného hrdla. Oblíben je i pro krotkost, důvěřivost a přítulnost k chovateli. Patří k plemenům s vysokou výstavní hodnotou."
3;"Česká bagdeta";"Česká bagdeta";"Tschechische Bagdette";"Czech Bagdad";2;2;5;9;"Poměrně silný holub, střední velikosti, s dobrými letovými schopnostmi, původně polařící, s cennými znaky hlavy, zobáku a obočnic, které jej přiřazují mezi plemena bradavičnatá. Vyniká i řadou barevných a kresebných rázů."
4;"Česká čejka";"Český cíbik";"Böhmische Flügeltaube";"Bohemian Wing Pigeon";5;2;3;11;"Typ středně silného polního holuba, kratšího tvaru, s nízkým a širokým postojem v mírném sklonu nazad, dobře vyvinutých pernatých ozdob (hladkonozí, rousní, hladkohlaví, chocholatí), přesné kresby a syté barvy."
5;"Česká lyska běloocasá";"Česká lyska bielochvostá";"Böhmische Schnippe weisschwanzig";"Czech spot Whitetail";5;2;9;11;"Velikostí a celkovým dojmem připomíná středné silného polního holuba s bílou čelní lysinkou a bílým ocasem a charakteristickými barevnými a kresebnými kombinacemi."
6;"Český bublák";"Český bublák";"Tschechische Trommeltaube";"Czech Trumpeter";6;2;10;12;"Holub patřící do skupiny bubláků, vyznačuje se zvláštním hlasovým projevem – bubláním, které je nejcennějším plemenným znakem. Bublání nesmí být monotónní, musí se střídat vyšší tóny s hlubšími, musí být výrazné a dobře slyšitelné a čím déle trvá, tím je holub cennější. Holubice bublají v kratších intervalech a ve vyšším tónu. Typickým dokonalým znakem je dokonalost postavy, je kompaktní, nízká, široká a krátka, v průhledu ze předu musí být prostor mezi břichem, nohama a rousem zcela zaplněn. Dalším znakem je jakoby slité a přilehlé opeření a husté, velmi vyvinuté rousy, supí pera a vrkoče."
7;"Český holub";"Český holub";"Böhmentaube";"Bohemian Pigeon";5;2;9;8;"Silnější polní holub s vodorovným tělem, středně vysokého postoje, hladkonohý a hladkohlavý, dobře létající."
8;"Český rejdič";"Český letún";"Tschechischer Tümmler";"Czech Tumbler";9;1;12;8;"Je cenným plemenem rejdiče pro dobré letové schopnosti v hejnu po dobu 1-2 hodin a pro hodnotný okrasný exteriér. Charakterizuje jej jemná střední postava, lasturovitá chocholka a opeřené nohy s krátkými rousky."
9;"Český stavák";"Český stavák";"Tschechischer Stellerkröpfer";"Czech Steller Cropper";4;2;9;8;"Temperamentní, menší střední voláč, méně vzpřímeného držení těla (pod úhlem menším než 45°). Vole hruškovité. Výjimečně lesklé barvy opeření. Jedním z hlavních plemenných znaků je typický let, při němž holub tleská křídly a, postaví-li je při letu vysoko nad sebe, padá."
10;"Český voláč sivý";"Český sivý hrvoliak";"Tschechischer Eiskröpfer";"Czech Ice Cropper";4;2;10;8;"Voláč střední velikosti se silnější, mírně vztyčenou postavou a dobrou volatostí. Vyniká typickým sivým zbarvením s černými pruhy nebo kaprováním štítů křídel."
11;"Hanácký voláč";"Hanácký hrvoliak";"Hana Kröpfer";"Hana Pouter";4;3;11;11;"Statný, dobře volatý, vysokonohý a rousný voláč s pštrosí kresbou. Požadavky na dokonalost tělesných tvarů jsou vysoké. Barva, lesk a svit nejsou podstatné."
12;"Moravská bagdeta";"Moravská bagdeta";"Mährische Bagdette";"Morovia Bagdad";2;2;6;10;"Holub silné tělesné stavby a většího rámce. Vyniká užitkovostí, postavou, tvarem hlavy, špičatou chocholkou a výraznými obočnicemi."
13;"Moravský bělohlávek";"Moravský bielohlávok";"Mährischer Weißkopfkröpfer";"Bohemian Cropper";4;2;2;9;"Holub ze skupiny středních voláčů, vyšší a vzpřímené postavy, se silnější stavbou těla a dobrou volatostí. Hlava je zdobena špičatou chocholkou."
14;"Moravský morák";"Moravský morák";"Mährischer Morak";"Moravian Morak Cropper";4;2;2;9;"Voláč ze skupiny středních voláčů. Velikostí se řadí mezi největší plemena ve skupině. Vyniká silnou postavou většího tělesného rámce a velmi dobrým voletem hruškovitého tvaru, vitalitou a plodností. Je zvláštní tím, že se vyskytuje jen v jedinem barevném a kresebném rázu."
15;"Moravský pštros";"Moravský pštros";"Mährischer Strasser";"Moravian Strasser";1;2;2;9;"Původně užitkové plemeno střední velikosti polního typu s typickou pštrosí kresbou. Vysoce prošlechtěných barev a lesků. V současnosti má též znaky holuba vynikajícich tvarů s přiměřenou hmotností."
16;"Moravský voláč sedlatý";"Moravský hrvoliak sedlatý ";"Mährischer Elsterkröpfer";"Moravian Magpie Cropper";4;2;2;9;"Holub ze skupiny středních voláčů, vysoké a vzpřímené postavy, vyskytující se jen v sedlatém rázu. Hlava je zdobena špičatou chocholkou. Vyniká vitalitou a plodností."
17;"Ostravská bagdeta";"Ostravská bagdeta";"Ostrauer Bagdette";"Ostrava Bagdad";2;2;7;9;"Holub silné tělesné stavby, vzpřímený, na vyšších nohách. Typickým znakem plemena je křivka krku ve tvaru písmene S, kterou tvoří profil hlavy se zobákem, dozadu prohnutý týl a vpředu vystupující krční obratle a nasazení krku ke hrudi. Dále je charakteristický dobře znatelný lalůček na spodní straně krku, a na horní části hrudi na obě strany kolmo rozčísnutá náprsenka."
18;"Prácheňský káník";"Prachenský kaník";"Prachener Kanik";"Prachen Kanik";1;2;3;8;"Temperamentní, velmi plodný holub s výbornými letovými schopnostmi, včetně polaření. Původně užitkové plemeno lehčího polního typu, v současnosti plemeno s vysokou výstavní a chovatelskou hodnotou. Má kompaktní jemnou tělesnou stavbu, vyniká pěknou bělohrotou gazzi kresbou a jemnými a čistými barvami."
19;"Pražský rejdič krátkozobý";"Pražský krátkozobý letún";"Prager Tümmler";"Prague Short Faced Tumbler";9;1;12;7;"Původní plemenné znaky byly hlavně výborné letové schopnosti v hejnech, včetně letu výškového a vytrvalostního, doprovázeného prudkými obraty (překládáním). V současnosti vyniká především tvarovými znaky hlavy, krátkozobostí, malou a jemnou postavou a množstvím barevných a kresebných rázů."
20;"Pražský rejdič středozobý";"Pražský stredozobý letún";"Prager mittelschnabliger Tümmler";"Prague Tumbler";9;1;12;7;"Rejdič se schopností středně vysokého letu po dobu až 2 hodin do vzdálenosti až 10 km, který je doprovázen prudkými obraty (překládáním). Má jemnou postavu připomínající dobrého letouna. Požadavky na tvar hlavy jsou méně náročné. Je podobný pražskému rejdiči krátkozobému, od něhož má i svůj původ a shoduje s s ním v barevných a kresebných rázech. Je poměrně plodný a dobře odchovává mladé."
21;"Rakovnický kotrlák";"Rakovnícky kotrmeliak";"Rakovnik Roller";"Rakovnik Roller";9;1;13;7;"Drobný a jemný holub, který vyniká temperamentem a přeevším zvláštním způsobem letu – válením, které probíhá za letu tak, že se holub v přemetech otáčí nazad. Čím více přemetů udělá, tím je chovná hodnota větší. Nejcennější holubi válejí i nízko nad zemí nebo nad hřebenem střechy. Vynika rozmanitými barevnými a kresebnými rázy."
22;"Slezský barevnohlávek";"Sliezsky farebnohlávok";"Schlesischer Farbenkopf";"Silesian Colourhead";1;2;4;9;"Holub středního užitkového typu, vynikajících letových vlastností včetně polaření. Jeho užitkovost vyplývá z nenáročnosti a značné otužilosti. Mimoto je i ceněným plemenem okrasným a výstavním."
23;"Slezský voláč";"Sliezsky hrvoliak";"Schlesischer Kröpfer";"Silesian Cropper";4;2;4;8;"Štíhlý, harmonický, elegantní, ale přesto silný voláč s velmi dobrou volatostí hruškovitého tvaru, zadní partie kratší (2/5) vztyčeného postoje, mírně duté linie zad, živého temperamentu."
